taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mixed curry spices,,,,,"uk, british, h",Mixed curry spices,MIXED CURRY SPICES,13.2,13.3,,,,,,,,,,,10.1,,,,,,,490.0,32.33,234.0,319.0,1878.0,1154.0,4.1,1.09,,3.5,,,,1991.0,,,,,,,,,,,,,,,,,1.0,0.3,0.69,6.9,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mixed herbs,,,,,"uk, british, h","Mixed herbs, dried","MIXED HERBS, DRIED",12.1,8.5,36.3,,261.0,,,,,,,,8.1,,,1092.0,,,,1653.0,68.97,280.0,235.0,1873.0,81.0,4.6,0.73,,9.84,,,,1350.0,,,,,,,,,,,,,,,,,43.0,,0.34,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,united kingdom,,,molasses,,,,,"uk, british, sc",Molasses,MOLASSES,,0.1,68.8,,266.0,,35.1,11.5,12.9,,,,25.9,,,1115.0,59.4,,,210.0,4.7,240.0,31.0,1460.0,37.0,0.3,0.49,,1.53,,,,,,,0.41,,,,,,,,,,,,,,,0.04,,0.9,0.8,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mooli paratha,,,,,"uk, british, af","Mooli paratha, homemade","MOOLI PARATHA, HOMEMADE",5.9,2.3,33.8,,171.0,32.0,0.3,0.9,0.5,,0.1,,46.7,,,727.0,1.8,,4.8,61.0,1.86,41.0,114.0,235.0,395.0,0.9,0.15,,,8.0,,,,49.0,,2.87,,,,17.0,11.0,143.0,,,,,,,,,0.14,0.09,2.2,0.49,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,united kingdom,,,muesli,,,,,"uk, british, ai","Muesli, Swiss style, no added sugar or salt, unfortified","MUESLI, SWISS STYLE, NO ADDED SUGAR OR SALT, UNFORTIFIED",9.8,5.9,70.7,,357.0,57.7,,4.6,5.2,3.2,,,9.2,,,1516.0,13.0,,8.5,78.0,2.67,87.0,303.0,539.0,66.0,1.5,0.41,,1.99,5.0,,,,,,0.52,,,,,,,,,,,,,,,0.17,0.37,6.9,0.6,0.53,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,united kingdom,,,muesli,,,,,"uk, british, ai","Muesli, Swiss style, unfortified","MUESLI, SWISS STYLE, UNFORTIFIED",9.2,6.3,72.6,,366.0,51.3,7.4,4.9,5.0,4.0,,,7.5,,,1551.0,21.3,,8.8,93.0,2.67,92.0,318.0,531.0,138.0,1.7,0.39,,2.31,5.0,,,,,,0.42,,,,,,,0.1,0.62,0.02,,,,,,0.17,0.37,6.9,0.6,0.53,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mulberries,,,,,"uk, british, fa","Mulberries, whole fruit, raw","MULBERRIES, WHOLE FRUIT, RAW",1.3,,8.1,,36.0,,,3.8,4.3,,,,85.0,,,152.0,8.1,,,36.0,1.6,15.0,48.0,260.0,2.0,0.2,0.06,,0.9,,,,2.0,14.0,,,,,,,,,,,,,,,,19.0,0.03,0.05,0.7,0.24,0.06,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushroom,,,,,"uk, british, di","Mushroom, dried","MUSHROOM, DRIED",21.8,6.0,4.8,,159.0,1.2,1.2,1.2,1.2,,,,10.5,,,669.0,3.6,,,73.0,7.3,110.0,970.0,3870.0,60.0,4.8,8.71,,1.2,110.0,,,,,,14.86,,,,,,,,,,,,,,,,,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, Chinese, dried, raw","MUSHROOMS, CHINESE, DRIED, RAW",10.0,1.8,59.9,,284.0,,,,,,,,12.8,,,1188.0,,,,76.0,11.7,14.0,290.0,1480.0,38.0,0.3,1.79,,0.1,13.0,,,,,,,,,,,,,,,,,,,,,0.37,1.32,11.3,2.1,0.53,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, Jew's ear, tender, dried, raw","MUSHROOMS, JEW'S EAR, TENDER, DRIED, RAW",6.9,1.0,62.4,,279.0,,,,,,,,13.0,,,1167.0,,,,210.0,56.1,,220.0,860.0,63.0,,,,,,,,3.0,20.0,,,,,,,,,,,,,,,,,0.16,0.48,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
